task_id,repo,alignment_verdict,new_eval_verdict,agent_success,fail_to_pass_total,pass_to_pass_total,required_total,selected_test_files_count,issue_specificity_count,issue_categories_count,issue_specificity,issue_categories,problem_statement_words,requirements_words,requirements_bullet_count,interface_words,interface_meaningful,patch_files,patch_changed,test_patch_files,test_patch_changed,f2p_bucket,p2p_bucket,selected_test_files_bucket,patch_files_bucket,patch_changed_bucket,test_patch_changed_bucket,requirements_words_bucket
ansible-a1569ea4,ansible,narrow_tests,reject,False,6,21,27,1,3,3,major_bug;integration_bug;performance_bug,back_end_knowledge;networking_knowledge;api_knowledge,419,230,1,5,False,2,59,2,61,03_6-10,02_11-50,01_1,02_2-3,02_51-200,02_21-100,02_101-250
ansible-a20a5270,ansible,leaked,reject,True,1,56,57,2,2,2,security_bug;critical_bug,back_end_knowledge;security_knowledge,153,134,1,5,False,2,50,3,126,01_1-2,03_51-100,02_2,02_2-3,01_0-50,03_101-250,02_101-250
ansible-a26c325b,ansible,leaked,reject,True,4,38,42,2,1,3,security_bug,back_end_knowledge;security_knowledge;api_knowledge,318,211,1,5,False,5,70,8,174,02_3-5,02_11-50,02_2,03_4-10,02_51-200,03_101-250,02_101-250
ansible-a7d2a4e0,ansible,ok,reject,True,2,7,9,1,2,2,core_feat;technical_debt_enh,back_end_knowledge;devops_knowledge,167,229,1,113,True,4,38,1,18,01_1-2,01_0-10,01_1,03_4-10,01_0-50,01_0-20,02_101-250
ansible-b5e02936,ansible,leaked,accept,False,3,4,7,1,2,2,data_bug;edge_case_bug,back_end_knowledge;devops_knowledge,188,335,1,5,False,2,54,2,46,02_3-5,01_0-10,01_1,02_2-3,02_51-200,02_21-100,03_251-500
ansible-b6290e1d,ansible,leaked,reject,False,8,0,8,1,2,2,core_feat;integration_feat,back_end_knowledge;networking_knowledge,393,395,6,581,True,1,582,2,166,03_6-10,01_0-10,01_1,01_1,04_501+,03_101-250,03_251-500
ansible-b8025ac1,ansible,ok,accept,False,4,38,42,2,3,3,major_bug;integration_bug;compatibility_bug,back_end_knowledge;devops_knowledge;networking_knowledge,257,207,1,134,True,5,520,7,101,02_3-5,02_11-50,02_2,03_4-10,04_501+,03_101-250,02_101-250
ansible-be2c376a,ansible,leaked,reject,True,2,14,16,1,2,1,minor_bug;refactoring_enh,back_end_knowledge,175,145,1,5,False,2,59,1,75,01_1-2,02_11-50,01_1,02_2-3,02_51-200,02_21-100,02_101-250
ansible-be59caa5,ansible,narrow_tests,reject,True,1,22,23,1,2,3,core_feat;integration_feat,back_end_knowledge;networking_knowledge;devops_knowledge,253,247,1,5,False,2,35,1,63,01_1-2,02_11-50,01_1,02_2-3,01_0-50,02_21-100,02_101-250
ansible-bec27fb4,ansible,narrow_tests,reject,False,3,17,20,1,3,3,data_bug;documentation_enh;code_quality_enh,back_end_knowledge;infrastructure_knowledge;devops_knowledge,249,319,16,5,False,7,467,18,499,02_3-5,02_11-50,01_1,03_4-10,03_201-500,04_251+,03_251-500
ansible-bf98f031,ansible,ok,accept,False,4,5,9,2,3,3,major_bug;regression_bug;data_bug,back_end_knowledge;devops_knowledge;security_knowledge,162,351,10,139,True,4,108,2,105,02_3-5,01_0-10,02_2,03_4-10,02_51-200,03_101-250,03_251-500
ansible-c616e54a,ansible,leaked,reject,False,6,0,6,15,4,3,major_bug;integration_bug;regression_bug;refactoring_enh,back_end_knowledge;infrastructure_knowledge;devops_knowledge,363,429,1,212,True,4,2028,18,217,03_6-10,01_0-10,04_6+,03_4-10,04_501+,03_101-250,03_251-500
ansible-cb94c0cc,ansible,ok,reject,True,1,8,9,1,2,2,performance_feat;customization_feat,back_end_knowledge;desktop_knowledge,281,347,1,316,True,5,43,3,9,01_1-2,01_0-10,01_1,03_4-10,01_0-50,01_0-20,03_251-500
ansible-cd473dfb,ansible,leaked,reject,True,17,30,47,1,3,2,major_bug;edge_case_bug;data_bug,back_end_knowledge;devops_knowledge,490,295,1,5,False,2,37,2,381,04_11-25,02_11-50,01_1,02_2-3,01_0-50,04_251+,03_251-500
ansible-cd9c4eb5,ansible,ok,reject,True,1,0,1,1,2,3,major_bug;compatibility_bug,back_end_knowledge;infrastructure_knowledge;devops_knowledge,166,47,1,78,True,2,28,2,264,01_1-2,01_0-10,01_1,02_2-3,01_0-50,04_251+,01_0-100
ansible-d2f80991,ansible,ok,accept,False,5,56,61,2,1,2,core_feat,back_end_knowledge;devops_knowledge,174,235,1,63,True,4,310,9,467,02_3-5,03_51-100,02_2,03_4-10,03_201-500,04_251+,02_101-250
ansible-d30fc6c0,ansible,leaked,accept,False,3,55,58,2,3,4,edge_case_bug;code_quality_enh;dev_ops_enh,back_end_knowledge;devops_knowledge;infrastructure_knowledge;security_knowledge,192,202,1,5,False,2,117,4,105,02_3-5,03_51-100,02_2,02_2-3,02_51-200,03_101-250,02_101-250
ansible-d58e69c8,ansible,leaked,accept,False,2,38,40,3,2,3,regression_bug;major_bug,back_end_knowledge;api_knowledge;infrastructure_knowledge,262,332,19,136,True,3,136,6,216,01_1-2,02_11-50,03_3-5,02_2-3,02_51-200,03_101-250,03_251-500
ansible-d62496fe,ansible,ok,reject,True,4,92,96,1,3,1,minor_bug;data_bug;edge_case_bug,back_end_knowledge,252,144,6,4,False,3,35,1,73,02_3-5,03_51-100,01_1,02_2-3,01_0-50,02_21-100,02_101-250
ansible-d9f18662,ansible,ok,reject,False,1,1,2,1,3,2,code_quality_enh;security_enh;security_feat,back_end_knowledge;security_knowledge,181,215,1,8,False,3,28,1,5,01_1-2,01_0-10,01_1,02_2-3,01_0-50,01_0-20,02_101-250
ansible-de01db08,ansible,ok,reject,True,1,3,4,1,2,2,edge_case_bug;performance_bug,back_end_knowledge;devops_knowledge,175,179,1,5,False,3,51,1,2,01_1-2,01_0-10,01_1,02_2-3,02_51-200,01_0-20,02_101-250
ansible-deb54e4c,ansible,leaked,reject,True,5,56,61,1,1,2,customization_feat,back_end_knowledge;devops_knowledge,92,133,6,5,False,5,49,1,11,02_3-5,03_51-100,01_1,03_4-10,01_0-50,01_0-20,02_101-250
ansible-e22e103c,ansible,narrow_tests,reject,True,4,26,30,1,3,4,core_feat;customization_feat;integration_feat,back_end_knowledge;infrastructure_knowledge;security_knowledge;authentication_authorization_knowledge,409,267,1,5,False,2,30,1,8,02_3-5,02_11-50,01_1,02_2-3,01_0-50,01_0-20,03_251-500
ansible-e40889e7,ansible,leaked,accept,False,18,191,209,3,2,3,core_feat;integration_feat,back_end_knowledge;devops_knowledge;api_knowledge,355,377,14,785,True,10,647,17,333,04_11-25,04_101+,03_3-5,03_4-10,04_501+,04_251+,03_251-500
ansible-e64c6c1c,ansible,leaked,reject,False,5,1,6,1,4,3,major_bug;data_bug;compatibility_bug;edge_case_bug,back_end_knowledge;devops_knowledge;performance_knowledge,747,101,1,5,False,2,28,1,53,02_3-5,01_0-10,01_1,02_2-3,01_0-50,02_21-100,02_101-250
ansible-ed6581e4,ansible,ok,reject,True,1,58,59,1,2,3,compatibility_bug;dev_ops_enh,back_end_knowledge;infrastructure_knowledge;devops_knowledge,299,364,1,5,False,1,44,1,12,01_1-2,03_51-100,01_1,01_1,01_0-50,01_0-20,03_251-500
ansible-eea46a0d,ansible,leaked,reject,False,10,0,10,3,2,2,core_feat;code_quality_enh,back_end_knowledge;infrastructure_knowledge,129,187,9,321,True,9,501,5,228,03_6-10,01_0-10,03_3-5,03_4-10,04_501+,03_101-250,02_101-250
ansible-f02a62db,ansible,ok,reject,False,7,0,7,1,2,3,core_feat;api_feat,back_end_knowledge;infrastructure_knowledge;api_knowledge,384,455,1,436,True,1,215,4,436,03_6-10,01_0-10,01_1,01_1,03_201-500,04_251+,03_251-500
ansible-f327e65d,ansible,leaked,reject,True,4,171,175,2,3,2,technical_debt_enh;refactoring_enh;compatibility_bug,devops_knowledge;infrastructure_knowledge,94,92,1,5,False,2,61,2,29,02_3-5,04_101+,02_2,02_2-3,02_51-200,02_21-100,01_0-100
ansible-f86c58e2,ansible,ok,accept,False,15,0,15,1,4,3,edge_case_bug;compatibility_bug;integration_bug;data_bug,back_end_knowledge;performance_knowledge;authentication_authorization_knowledge,190,209,7,5,False,3,88,1,72,04_11-25,01_0-10,01_1,02_2-3,02_51-200,02_21-100,02_101-250
ansible-fb144c44,ansible,ok,reject,True,5,7,12,1,2,2,minor_bug;ui_ux_bug,back_end_knowledge;ui_ux_knowledge,253,178,7,47,True,4,67,1,35,02_3-5,01_0-10,01_1,03_4-10,02_51-200,02_21-100,02_101-250
openlibrary-00bec1e7,openlibrary,ok,reject,True,3,15,18,1,2,3,code_quality_enh;refactoring_enh,back_end_knowledge;api_knowledge;web_knowledge,156,282,10,222,True,2,69,1,28,02_3-5,02_11-50,01_1,02_2-3,02_51-200,02_21-100,03_251-500
openlibrary-03095f26,openlibrary,ok,reject,False,2,1,3,1,3,3,major_bug;data_bug;integration_bug,back_end_knowledge;database_knowledge;devops_knowledge,156,225,7,76,True,1,53,1,277,01_1-2,01_0-10,01_1,01_1,02_51-200,04_251+,02_101-250
openlibrary-09865f5f,openlibrary,ok,accept,False,2,11,13,1,2,3,data_bug;edge_case_bug,front_end_knowledge;back_end_knowledge;web_knowledge,281,480,11,203,True,6,123,1,44,01_1-2,02_11-50,01_1,03_4-10,02_51-200,02_21-100,03_251-500
openlibrary-0a90f9f0,openlibrary,ok,accept,True,16,17,33,3,4,3,major_bug;data_bug;integration_bug;edge_case_bug,back_end_knowledge;api_knowledge;database_knowledge,132,454,10,288,True,3,170,3,233,04_11-25,02_11-50,03_3-5,02_2-3,02_51-200,03_101-250,03_251-500
openlibrary-0d13e6b4,openlibrary,ok,reject,True,10,0,10,1,1,1,core_feat,back_end_knowledge,226,183,6,86,True,1,75,1,24,03_6-10,01_0-10,01_1,01_1,02_51-200,02_21-100,02_101-250
openlibrary-0dc5b20f,openlibrary,skipped,accept,False,2,55,57,1,2,2,core_feat;refactoring_enh,back_end_knowledge;ml_ai_knowledge,139,275,1,72,True,1,62,2,14,01_1-2,03_51-100,01_1,01_1,02_51-200,01_0-20,03_251-500
openlibrary-11838fad,openlibrary,leaked,accept,False,54,33,87,2,2,2,data_bug;code_quality_enh,back_end_knowledge;database_knowledge,399,329,1,5,False,1,133,59,612,05_26+,02_11-50,02_2,01_1,02_51-200,04_251+,03_251-500
openlibrary-1351c59f,openlibrary,leaked,reject,True,1,16,17,4,1,2,code_quality_enh,back_end_knowledge;database_knowledge,252,94,3,68,True,3,73,4,63,01_1-2,02_11-50,03_3-5,02_2-3,02_51-200,02_21-100,01_0-100
openlibrary-1894cb48,openlibrary,leaked,accept,True,1,62,63,2,2,2,data_bug;major_bug,back_end_knowledge;database_knowledge,309,139,1,111,True,3,106,2,71,01_1-2,03_51-100,02_2,02_2-3,02_51-200,02_21-100,02_101-250
openlibrary-1be7de78,openlibrary,ok,reject,True,6,0,6,3,1,1,refactoring_enh,back_end_knowledge,190,202,6,258,True,4,148,3,342,03_6-10,01_0-10,03_3-5,03_4-10,02_51-200,04_251+,02_101-250
openlibrary-2abe28b4,openlibrary,ok,reject,True,4,20,24,2,1,1,core_feat,back_end_knowledge,116,121,6,5,False,1,24,2,176,02_3-5,02_11-50,02_2,01_1,01_0-50,03_101-250,02_101-250
openlibrary-2fe532a3,openlibrary,ok,accept,True,4,20,24,2,2,2,refactoring_enh;code_quality_enh,back_end_knowledge;api_knowledge,124,73,2,5,False,2,28,2,184,02_3-5,02_11-50,02_2,02_2-3,01_0-50,03_101-250,01_0-100
openlibrary-308a35d6,openlibrary,ok,reject,False,2,12,14,3,3,2,refactoring_enh;code_quality_enh;technical_debt_enh,full_stack_knowledge;devops_knowledge,161,77,6,44,True,6,244,3,62,01_1-2,02_11-50,03_3-5,03_4-10,03_201-500,02_21-100,01_0-100
openlibrary-30bc73a1,openlibrary,leaked,reject,False,3,0,3,1,3,3,performance_feat;performance_enh;code_quality_enh,back_end_knowledge;api_knowledge;database_knowledge,209,118,1,492,True,4,623,1,36,02_3-5,01_0-10,01_1,03_4-10,04_501+,02_21-100,02_101-250
openlibrary-3f7db6bb,openlibrary,ok,reject,True,6,0,6,1,3,3,core_feat;integration_feat;api_feat,devops_knowledge;api_knowledge;back_end_knowledge,114,65,3,553,True,2,208,1,89,03_6-10,01_0-10,01_1,02_2-3,03_201-500,02_21-100,01_0-100
openlibrary-427f1f4e,openlibrary,ok,reject,True,4,4,8,1,2,1,edge_case_bug;minor_bug,back_end_knowledge,276,91,3,5,False,2,46,1,18,02_3-5,01_0-10,01_1,02_2-3,01_0-50,01_0-20,01_0-100
openlibrary-431442c9,openlibrary,ok,accept,True,7,0,7,1,2,4,minor_bug;ui_ux_bug,back_end_knowledge;web_knowledge;api_knowledge;ui_ux_knowledge,197,98,4,101,True,2,56,1,32,03_6-10,01_0-10,01_1,02_2-3,02_51-200,02_21-100,01_0-100
openlibrary-43f9e7e0,openlibrary,narrow_tests,reject,True,1,60,61,1,1,2,data_bug,back_end_knowledge;api_knowledge,145,129,4,5,False,1,29,1,42,01_1-2,03_51-100,01_1,01_1,01_0-50,02_21-100,02_101-250
openlibrary-4a5d2a7d,openlibrary,ok,reject,True,1,8,9,1,3,3,core_feat;ui_ux_feat;integration_feat,full_stack_knowledge;web_knowledge;ui_ux_knowledge,144,110,4,115,True,3,92,1,31,01_1-2,01_0-10,01_1,02_2-3,02_51-200,02_21-100,02_101-250
openlibrary-5069b09e,openlibrary,ok,accept,True,1,2,3,1,1,3,refactoring_enh,api_knowledge;database_knowledge;back_end_knowledge,86,61,3,5,False,6,54,1,36,01_1-2,01_0-10,01_1,03_4-10,02_51-200,02_21-100,01_0-100
openlibrary-53e02a22,openlibrary,leaked,reject,False,1,25,26,1,1,1,refactoring_enh,back_end_knowledge,129,241,10,57,True,6,403,1,11,01_1-2,02_11-50,01_1,03_4-10,03_201-500,01_0-20,02_101-250
openlibrary-5c6c22f3,openlibrary,ok,reject,True,8,14,22,2,1,2,code_quality_enh,back_end_knowledge;devops_knowledge,279,260,1,133,True,2,82,2,166,03_6-10,02_11-50,02_2,02_2-3,02_51-200,03_101-250,03_251-500
openlibrary-5de7de19,openlibrary,ok,reject,False,16,9,25,1,1,2,refactoring_enh,back_end_knowledge;api_knowledge,205,176,8,102,True,3,88,1,54,04_11-25,01_0-10,01_1,02_2-3,02_51-200,02_21-100,02_101-250
openlibrary-5fb31263,openlibrary,leaked,accept,False,4,7,11,1,2,3,integration_feat;ui_ux_feat,back_end_knowledge;api_knowledge;web_knowledge,227,119,4,86,True,8,146,1,134,02_3-5,01_0-10,01_1,03_4-10,02_51-200,03_101-250,02_101-250
openlibrary-60725705,openlibrary,ok,reject,True,1,3,4,1,3,4,ui_ux_feat;customization_feat;api_feat,ui_ux_knowledge;api_knowledge;back_end_knowledge;front_end_knowledge,110,91,5,56,True,4,76,1,10,01_1-2,01_0-10,01_1,03_4-10,02_51-200,01_0-20,01_0-100
openlibrary-62d22431,openlibrary,ok,accept,False,1,0,1,1,2,4,integration_bug;analytics_feat,back_end_knowledge;api_knowledge;database_knowledge;infrastructure_knowledge,165,217,0,194,True,2,100,1,19,01_1-2,01_0-10,01_1,02_2-3,02_51-200,01_0-20,02_101-250
openlibrary-6a117fab,openlibrary,leaked,reject,True,1,1,2,1,2,4,core_feat;ui_ux_feat,front_end_knowledge;web_knowledge;back_end_knowledge;ui_ux_knowledge,106,83,4,198,True,7,120,1,1,01_1-2,01_0-10,01_1,03_4-10,02_51-200,01_0-20,01_0-100
openlibrary-6afdb09d,openlibrary,ok,reject,True,2,4,6,1,2,2,core_feat;api_feat,api_knowledge;back_end_knowledge,209,229,8,5,False,1,30,1,22,01_1-2,01_0-10,01_1,01_1,01_0-50,02_21-100,02_101-250
openlibrary-6e889f4a,openlibrary,ok,accept,False,5,10,15,3,3,3,core_feat;api_feat;integration_feat,back_end_knowledge;api_knowledge;database_knowledge,385,377,1,135,True,2,104,3,184,02_3-5,01_0-10,03_3-5,02_2-3,02_51-200,03_101-250,03_251-500
openlibrary-6fdbbeee,openlibrary,ok,reject,True,1,6,7,1,2,2,code_quality_enh;refactoring_enh,back_end_knowledge;performance_knowledge,194,223,8,157,True,6,269,1,21,01_1-2,01_0-10,01_1,03_4-10,03_201-500,02_21-100,02_101-250
openlibrary-72321288,openlibrary,ok,reject,True,1,0,1,1,3,2,core_feat;localization_feat;integration_feat,back_end_knowledge;database_knowledge,81,122,8,69,True,4,51,1,14,01_1-2,01_0-10,01_1,03_4-10,02_51-200,01_0-20,02_101-250
openlibrary-757fcf46,openlibrary,ok,reject,True,6,0,6,3,3,2,refactoring_enh;code_quality_enh;documentation_enh,back_end_knowledge;web_knowledge,181,202,8,137,True,4,90,3,109,03_6-10,01_0-10,03_3-5,03_4-10,02_51-200,03_101-250,02_101-250
openlibrary-77c16d53,openlibrary,leaked,accept,False,12,0,12,1,2,3,refactoring_enh;code_quality_enh,back_end_knowledge;web_knowledge;ui_ux_knowledge,128,263,7,410,True,7,204,1,173,04_11-25,01_0-10,01_1,03_4-10,03_201-500,03_101-250,03_251-500
openlibrary-798055d1,openlibrary,ok,reject,False,1,0,1,1,2,2,major_bug;data_bug,back_end_knowledge;web_knowledge,128,282,1,5,False,1,36,1,150,01_1-2,01_0-10,01_1,01_1,01_0-50,03_101-250,03_251-500
openlibrary-798a5825,openlibrary,ok,reject,True,2,12,14,3,2,2,refactoring_enh;code_quality_enh,back_end_knowledge;api_knowledge,141,114,5,528,True,6,239,3,62,01_1-2,02_11-50,03_3-5,03_4-10,03_201-500,02_21-100,02_101-250
openlibrary-7bf32385,openlibrary,ok,accept,True,43,0,43,1,2,3,integration_feat;api_feat,back_end_knowledge;database_knowledge;api_knowledge,162,138,0,198,True,9,121,1,5,05_26+,01_0-10,01_1,03_4-10,02_51-200,01_0-20,02_101-250
openlibrary-7c8dc180,openlibrary,narrow_tests,reject,False,3,104,107,2,2,2,code_quality_enh;refactoring_enh,back_end_knowledge;performance_knowledge,229,372,13,5,False,4,162,2,5,02_3-5,04_101+,02_2,03_4-10,02_51-200,01_0-20,03_251-500
openlibrary-7cbfb812,openlibrary,leaked,reject,True,1,0,1,1,3,3,core_feat;ui_ux_feat;customization_feat,front_end_knowledge;back_end_knowledge;ui_ux_knowledge,215,117,5,6,False,5,553,1,21,01_1-2,01_0-10,01_1,03_4-10,04_501+,02_21-100,02_101-250
openlibrary-7f6b722a,openlibrary,ok,accept,True,4,5,9,3,4,3,minor_bug;edge_case_bug;refactoring_enh;code_quality_enh,back_end_knowledge;database_knowledge;api_knowledge,198,134,3,151,True,13,1663,3,273,02_3-5,01_0-10,03_3-5,04_11+,04_501+,04_251+,02_101-250
openlibrary-7f7e53aa,openlibrary,ok,accept,False,1,77,78,2,1,2,core_feat,back_end_knowledge;api_knowledge,268,61,3,5,False,1,49,2,40,01_1-2,03_51-100,02_2,01_1,01_0-50,02_21-100,01_0-100
openlibrary-8a5a63af,openlibrary,ok,reject,True,2,0,2,1,3,3,integration_feat;analytics_feat;code_quality_enh,back_end_knowledge;infrastructure_knowledge;web_knowledge,134,163,5,556,True,5,251,1,10,01_1-2,01_0-10,01_1,03_4-10,03_201-500,01_0-20,02_101-250
openlibrary-8a9d9d32,openlibrary,leaked,reject,False,15,0,15,1,2,3,core_feat;integration_feat,back_end_knowledge;devops_knowledge;database_knowledge,160,276,7,170,True,3,421,1,56,04_11-25,01_0-10,01_1,02_2-3,03_201-500,02_21-100,03_251-500
openlibrary-91efee62,openlibrary,ok,reject,True,1,5,6,1,3,3,ui_ux_feat;core_feat;integration_feat,back_end_knowledge;ui_ux_knowledge;front_end_knowledge,122,84,1,62,True,2,33,1,41,01_1-2,01_0-10,01_1,02_2-3,01_0-50,02_21-100,01_0-100
openlibrary-92db3454,openlibrary,ok,reject,True,1,2,3,1,4,3,core_feat;ui_ux_feat;api_feat;performance_feat,web_knowledge;full_stack_knowledge;performance_knowledge,151,118,0,6,False,11,703,1,21,01_1-2,01_0-10,01_1,04_11+,04_501+,02_21-100,02_101-250
openlibrary-9cd47f4d,openlibrary,leaked,reject,True,6,0,6,1,3,3,major_bug;performance_bug;integration_bug,back_end_knowledge;api_knowledge;infrastructure_knowledge,190,209,7,156,True,1,35,1,42,03_6-10,01_0-10,01_1,01_1,01_0-50,02_21-100,02_101-250
openlibrary-a48fd6ba,openlibrary,narrow_tests,accept,False,4,0,4,1,4,3,compatibility_bug;integration_bug;major_bug;regression_bug,back_end_knowledge;api_knowledge;database_knowledge,80,76,3,152,True,1,228,1,89,02_3-5,01_0-10,01_1,01_1,03_201-500,02_21-100,01_0-100
openlibrary-acdddc59,openlibrary,ok,reject,False,2,33,35,2,3,3,data_bug;integration_bug;edge_case_bug,back_end_knowledge;database_knowledge;infrastructure_knowledge,222,127,4,112,True,2,58,2,43,01_1-2,02_11-50,02_2,02_2-3,02_51-200,02_21-100,02_101-250
openlibrary-b4f7c185,openlibrary,ok,reject,True,3,30,33,1,1,1,code_quality_enh,back_end_knowledge,158,62,2,5,False,2,41,1,8,02_3-5,02_11-50,01_1,02_2-3,01_0-50,01_0-20,01_0-100
openlibrary-bb152d23,openlibrary,ok,reject,False,3,0,3,1,4,4,core_feat;integration_feat;performance_enh;dev_ops_enh,back_end_knowledge;database_knowledge;devops_knowledge;api_knowledge,359,491,1,481,True,4,635,1,40,02_3-5,01_0-10,01_1,03_4-10,04_501+,02_21-100,03_251-500
openlibrary-bdba0af0,openlibrary,ok,reject,True,1,5,6,1,2,3,ui_ux_feat;core_feat,web_knowledge;full_stack_knowledge;ui_ux_knowledge,177,86,1,128,True,2,46,1,195,01_1-2,01_0-10,01_1,02_2-3,01_0-50,03_101-250,01_0-100
openlibrary-c05ccf2c,openlibrary,leaked,accept,False,1,77,78,2,1,1,localization_feat,back_end_knowledge,236,150,1,5,False,1,49,2,40,01_1-2,03_51-100,02_2,01_1,01_0-50,02_21-100,02_101-250
openlibrary-c12943be,openlibrary,ok,reject,True,10,1,11,2,2,2,code_quality_enh;technical_debt_enh,back_end_knowledge;database_knowledge,193,201,1,125,True,3,42,2,36,03_6-10,01_0-10,02_2,02_2-3,01_0-50,02_21-100,02_101-250
openlibrary-c4eebe66,openlibrary,ok,accept,True,3,5,8,1,1,1,refactoring_enh,back_end_knowledge,146,82,1,93,True,2,119,1,43,02_3-5,01_0-10,01_1,02_2-3,02_51-200,02_21-100,01_0-100
openlibrary-c506c1b0,openlibrary,ok,reject,True,2,4,6,1,2,2,integration_feat;api_feat,back_end_knowledge;api_knowledge,156,145,1,12,False,14,288,1,22,01_1-2,01_0-10,01_1,04_11+,03_201-500,02_21-100,02_101-250
openlibrary-c8996ecc,openlibrary,ok,reject,False,4,92,96,2,1,1,data_bug,back_end_knowledge,115,143,6,5,False,2,35,2,65,02_3-5,03_51-100,02_2,02_2-3,01_0-50,02_21-100,02_101-250
openlibrary-d8162c22,openlibrary,ok,accept,True,18,0,18,1,2,2,api_feat;integration_feat,api_knowledge;back_end_knowledge,161,127,1,70,True,3,74,1,40,04_11-25,01_0-10,01_1,02_2-3,02_51-200,02_21-100,02_101-250
openlibrary-dbbd9d53,openlibrary,ok,reject,False,1,5,6,1,2,2,major_bug;edge_case_bug,back_end_knowledge;web_knowledge,173,126,5,5,False,2,38,1,72,01_1-2,01_0-10,01_1,02_2-3,01_0-50,02_21-100,02_101-250
openlibrary-de6ae105,openlibrary,ok,reject,True,1,1,2,1,3,2,data_bug;core_feat;code_quality_enh,back_end_knowledge;ds_knowledge,236,111,1,5,False,1,90,1,56,01_1-2,01_0-10,01_1,01_1,02_51-200,02_21-100,02_101-250
openlibrary-e1e50298,openlibrary,narrow_tests,accept,False,2,11,13,1,3,3,ui_ux_feat;core_feat;code_quality_enh,back_end_knowledge;web_knowledge;ui_ux_knowledge,236,238,1,134,True,6,123,1,44,01_1-2,02_11-50,01_1,03_4-10,02_51-200,02_21-100,02_101-250
openlibrary-e390c121,openlibrary,narrow_tests,accept,False,1,33,34,1,1,1,minor_bug,back_end_knowledge,190,117,6,5,False,1,123,1,2,01_1-2,02_11-50,01_1,01_1,02_51-200,01_0-20,02_101-250
openlibrary-f0341c0b,openlibrary,ok,reject,True,35,46,81,2,2,3,performance_enh;code_quality_enh,back_end_knowledge;api_knowledge;performance_knowledge,191,388,14,39,True,3,48,2,85,05_26+,02_11-50,02_2,02_2-3,01_0-50,02_21-100,03_251-500
openlibrary-f343c08f,openlibrary,ok,accept,False,2,7,9,1,2,2,core_feat;customization_feat,back_end_knowledge;database_knowledge,286,350,1,5,False,2,54,1,58,01_1-2,01_0-10,01_1,02_2-3,02_51-200,02_21-100,03_251-500
openlibrary-f3b26c2c,openlibrary,ok,accept,False,8,44,52,1,3,2,data_bug;edge_case_bug;major_bug,back_end_knowledge;api_knowledge,177,242,8,232,True,2,51,1,289,03_6-10,02_11-50,01_1,02_2-3,02_51-200,04_251+,02_101-250
openlibrary-f8cc11d9,openlibrary,ok,reject,False,3,0,3,1,1,2,integration_feat,back_end_knowledge;api_knowledge,146,325,9,231,True,1,146,1,213,02_3-5,01_0-10,01_1,01_1,02_51-200,03_101-250,03_251-500
openlibrary-fad4a40a,openlibrary,ok,reject,True,41,1,42,1,1,2,refactoring_enh,back_end_knowledge;web_knowledge,162,253,7,5,False,2,43,1,11,05_26+,01_0-10,01_1,02_2-3,01_0-50,01_0-20,03_251-500
qutebrowser-01d1d149,qutebrowser,leaked,reject,True,3,46,49,2,3,3,code_quality_enh;refactoring_enh;edge_case_bug,back_end_knowledge;desktop_knowledge;api_knowledge,175,150,1,5,False,2,95,2,10,02_3-5,02_11-50,02_2,02_2-3,02_51-200,01_0-20,02_101-250
qutebrowser-0aa57e4f,qutebrowser,narrow_tests,reject,True,4,33,37,1,1,1,ui_ux_feat,ui_ux_knowledge,257,120,5,5,False,3,59,1,16,02_3-5,02_11-50,01_1,02_2-3,02_51-200,01_0-20,02_101-250
qutebrowser-0d2afd58,qutebrowser,ok,reject,True,7,161,168,1,1,1,code_quality_enh,back_end_knowledge,286,299,1,80,True,4,50,1,50,03_6-10,04_101+,01_1,03_4-10,01_0-50,02_21-100,03_251-500
qutebrowser-0fc6d110,qutebrowser,ok,accept,False,4,54,58,1,1,2,ui_ux_feat,front_end_knowledge;ui_ux_knowledge,197,346,1,319,True,4,115,1,45,02_3-5,03_51-100,01_1,03_4-10,02_51-200,02_21-100,03_251-500
qutebrowser-16de0540,qutebrowser,leaked,accept,False,364,1,365,1,2,2,compatibility_bug;edge_case_bug,desktop_knowledge;back_end_knowledge,259,253,1,5,False,4,102,1,446,05_26+,01_0-10,01_1,03_4-10,02_51-200,04_251+,03_251-500
qutebrowser-1943fa07,qutebrowser,ok,reject,True,4,14,18,1,3,3,edge_case_bug;minor_bug;refactoring_enh,back_end_knowledge;desktop_knowledge;ui_ux_knowledge,130,214,6,117,True,5,39,2,14,02_3-5,02_11-50,01_1,03_4-10,01_0-50,01_0-20,02_101-250
qutebrowser-1a9e74bf,qutebrowser,leaked,accept,True,4,68,72,1,1,2,core_feat,back_end_knowledge;desktop_knowledge,150,202,1,5,False,1,32,1,40,02_3-5,03_51-100,01_1,01_1,01_0-50,02_21-100,02_101-250
qutebrowser-1af602b2,qutebrowser,leaked,reject,True,2,25,27,1,2,2,regression_bug;edge_case_bug,back_end_knowledge;desktop_knowledge,129,107,4,5,False,2,47,1,6,01_1-2,02_11-50,01_1,02_2-3,01_0-50,01_0-20,02_101-250
qutebrowser-21b426b6,qutebrowser,ok,reject,False,3,25,28,1,2,3,performance_enh;code_quality_enh,back_end_knowledge;api_knowledge;performance_knowledge,183,99,4,5,False,2,43,1,20,02_3-5,02_11-50,01_1,02_2-3,01_0-50,01_0-20,01_0-100
